time,isobaricInhPa,latitude,longitude,u_wind,v_wind,wind_direction,vertical_velocity,temperature
2015-06-01 12:00:00,1000.0,34.035014198127385,-118.1249158512706,0.3,1.3,192.99463,0.00016877719647214378,288.4
2015-06-01 15:00:00,1000.0,34.035014198127385,-118.1249158512706,0.8,0.3,249.44395,0.0040759342861939486,290.2
2015-06-01 18:00:00,1000.0,34.035014198127385,-118.1249158512706,2.7,0.9,251.56505,-0.012282345633400213,295.6
2015-06-01 21:00:00,1000.0,34.035014198127385,-118.1249158512706,4.4,2.0,245.55605,-0.033016014997845004,298.5
2015-06-02 00:00:00,1000.0,34.035014198127385,-118.1249158512706,5.1,2.6,242.98734,-0.041736420552463196,298.4
2015-06-02 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.8,2.4,237.72437,-0.03242122874273652,293.9
2015-06-02 06:00:00,1000.0,34.035014198127385,-118.1249158512706,2.2,1.3,239.42078,-0.016156144595304817,290.6
2015-06-02 09:00:00,1000.0,34.035014198127385,-118.1249158512706,1.2,0.4,251.56505,-0.004505163292557806,290.5
2015-06-02 12:00:00,1000.0,34.035014198127385,-118.1249158512706,0.1,0.2,206.56505,0.0027200987530509625,290.5
2015-06-02 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.1,-0.1,45.0,0.005388376018431578,292.3
2015-06-02 18:00:00,1000.0,34.035014198127385,-118.1249158512706,2.2,0.8,250.01689,-0.015505556908625992,297.7
2015-06-02 21:00:00,1000.0,34.035014198127385,-118.1249158512706,3.9,1.8,245.22485,-0.03410516639839132,300.4
2015-06-03 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.8,2.7,240.64224,-0.04381825582919572,300.1
2015-06-03 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.5,2.7,232.35239,-0.03393519127789493,295.1
2015-06-03 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.5,1.9,218.29016,-0.01670648338060748,291.3
2015-06-03 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.1,1.6,183.57634,-0.007817590993787775,290.4
2015-06-03 12:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.9,1.5,149.03625,-0.0015258418207837552,289.7
2015-06-03 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.2,1.5,172.40536,-0.004505163292557806,290.5
2015-06-03 18:00:00,1000.0,34.035014198127385,-118.1249158512706,2.0,2.0,225.0,-0.02271750567124342,295.2
2015-06-03 21:00:00,1000.0,34.035014198127385,-118.1249158512706,3.5,2.4,235.561,-0.03444915835691163,297.3
2015-06-04 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.3,2.8,236.92932,-0.04051969474015062,297.8
2015-06-04 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.4,2.9,229.53778,-0.033333146243102685,293.6
2015-06-04 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.6,2.5,212.61925,-0.019432202526629274,290.0
2015-06-04 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.5,2.1,193.3925,-0.009636979219488213,288.9
2015-06-04 12:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.2,2.0,174.28941,-0.003964888617742456,288.3
2015-06-04 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.1,1.7,176.63354,-0.0018636302778731828,289.5
2015-06-04 18:00:00,1000.0,34.035014198127385,-118.1249158512706,1.8,2.6,214.69516,-0.019164494471068046,293.7
2015-06-04 21:00:00,1000.0,34.035014198127385,-118.1249158512706,3.2,3.4,223.2643,-0.033030061562135234,295.5
2015-06-05 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.0,3.8,226.46881,-0.04059378341591971,295.8
2015-06-05 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.1,3.1,225.0,-0.028915237226049724,291.5
2015-06-05 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.3,2.0,213.02386,-0.011907044181716035,288.6
2015-06-05 09:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.2,1.5,172.40536,-0.0024464206498522817,288.3
2015-06-05 12:00:00,1000.0,34.035014198127385,-118.1249158512706,-1.0,1.2,140.19443,0.002443875112846018,288.0
2015-06-05 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.8,1.0,141.3402,0.0006779179093655283,289.6
2015-06-05 18:00:00,1000.0,34.035014198127385,-118.1249158512706,1.1,1.3,220.23636,-0.016378528480128947,294.6
2015-06-05 21:00:00,1000.0,34.035014198127385,-118.1249158512706,2.8,1.7,238.73627,-0.03178442337442565,297.6
2015-06-06 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.6,2.8,238.67131,-0.05057873448112051,297.0
2015-06-06 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.8,2.3,238.81503,-0.03839622891403993,291.6
2015-06-06 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.3,1.3,225.0,-0.01661302630590212,288.2
2015-06-06 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.3,0.4,216.8699,-0.005464337170555538,287.3
2015-06-06 12:00:00,1000.0,34.035014198127385,-118.1249158512706,0.4,0.0,270.0,-0.0022698017360554172,287.3
2015-06-06 15:00:00,1000.0,34.035014198127385,-118.1249158512706,0.2,-0.5,-21.801422,0.0007608141157577997,288.9
2015-06-06 18:00:00,1000.0,34.035014198127385,-118.1249158512706,1.7,0.5,253.61046,-0.01745433658505382,295.3
2015-06-06 21:00:00,1000.0,34.035014198127385,-118.1249158512706,3.5,1.7,244.09349,-0.038557396053676425,298.8
2015-06-07 00:00:00,1000.0,34.035014198127385,-118.1249158512706,5.0,2.0,248.1986,-0.0473721454741702,298.7
2015-06-07 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.9,1.8,245.22485,-0.03659887155887189,294.3
2015-06-07 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.8,1.4,232.12502,-0.022742697138981045,291.1
2015-06-07 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.9,-0.2,-77.47119,-0.007410541835693864,291.1
2015-06-07 12:00:00,1000.0,34.035014198127385,-118.1249158512706,0.1,-1.6,-3.576355,0.008638507746944973,292.3
2015-06-07 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.7,-1.6,23.629364,0.012727725405389492,295.9
2015-06-07 18:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.1,0.1,135.0,-0.0055874676214043685,303.1
2015-06-07 21:00:00,1000.0,34.035014198127385,-118.1249158512706,1.7,1.7,225.0,-0.029765649128308667,306.4
2015-06-08 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.7,1.8,249.04422,-0.044920135506454406,305.2
2015-06-08 03:00:00,1000.0,34.035014198127385,-118.1249158512706,3.8,1.5,248.45903,-0.03486141836289202,300.1
2015-06-08 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.4,0.7,243.43495,-0.015816716867936235,297.0
2015-06-08 09:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.3,-0.4,36.869904,0.0006093594734470344,297.5
2015-06-08 12:00:00,1000.0,34.035014198127385,-118.1249158512706,-1.0,-0.8,51.34018,0.008379401448983428,298.3
2015-06-08 15:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.9,-1.0,41.987213,0.010294561237832539,300.7
2015-06-08 18:00:00,1000.0,34.035014198127385,-118.1249158512706,-1.1,1.1,135.0,-0.0055604595007399445,306.5
2015-06-08 21:00:00,1000.0,34.035014198127385,-118.1249158512706,1.3,3.0,203.4287,-0.0347198810357421,309.0
2015-06-09 00:00:00,1000.0,34.035014198127385,-118.1249158512706,4.6,3.2,235.1755,-0.0523374315858866,306.8
2015-06-09 03:00:00,1000.0,34.035014198127385,-118.1249158512706,4.0,2.1,242.30054,-0.037244750069880574,300.2
2015-06-09 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.5,-0.4,-75.06857,-0.003475031140471749,296.9
2015-06-09 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.5,-2.6,-10.885529,0.01671947720955163,297.6
2015-06-09 12:00:00,1000.0,34.035014198127385,-118.1249158512706,0.1,-2.1,-2.7263184,0.016153217867132138,298.4
2015-06-09 15:00:00,1000.0,34.035014198127385,-118.1249158512706,0.1,-1.4,-4.0856323,0.010698801040838514,299.7
2015-06-09 18:00:00,1000.0,34.035014198127385,-118.1249158512706,0.7,-0.1,-81.8699,-0.003736038892673525,304.0
2015-06-09 21:00:00,1000.0,34.035014198127385,-118.1249158512706,1.8,0.4,257.4712,-0.015415725166751326,306.3
2015-06-10 00:00:00,1000.0,34.035014198127385,-118.1249158512706,3.5,0.5,261.8699,-0.02385990906091526,305.4
2015-06-10 03:00:00,1000.0,34.035014198127385,-118.1249158512706,2.9,1.0,250.9744,-0.022151012720836367,301.6
2015-06-10 06:00:00,1000.0,34.035014198127385,-118.1249158512706,1.3,2.0,213.02386,-0.020484570857829527,297.9
2015-06-10 09:00:00,1000.0,34.035014198127385,-118.1249158512706,0.4,3.0,187.59464,-0.022638791734378817,295.3
2015-06-10 12:00:00,1000.0,34.035014198127385,-118.1249158512706,-0.2,2.5,175.42609,-0.014146210543962387,293.0
